lon,lat,status
9.411155647,54.76417852,1
9.417558598,54.76477837,3
9.427500912,54.76393209,3
9.417558598,54.76477837,3
9.427500912,54.76393209,3
9.417558598,54.76477837,3
9.427500912,54.76393209,3
9.411155647,54.76417852,""
9.411155647,54.76417852,""
9.289222757,54.53902515,1
9.072882425,54.4763373,2
9.336922618,54.55593584,2
9.289222757,54.53902515,1
9.336922618,54.55593584,2
9.072882425,54.4763373,2
9.336922618,54.55593584,2
9.813509749,54.58858768,1
10.08625111,54.34204657,1
9.988437606,54.40183867,1
9.831813998,54.4713403,1
9.830583963,54.47288911,1
10.06141028,54.3698105,1
9.837104605,54.46581001,1
9.461019066,54.76965702,1
9.827413494,54.47570395,1
9.464537914,54.77078278,1
9.756710448,54.64765982,2
9.476248435,54.77721929,2
10.09542621,54.31530759,2
9.470469571,54.7740189,2
10.08383194,54.33830728,2
10.08843231,54.3615173,2
9.863274977,54.44754447,3
10.04153336,54.3672143,3
10.06169536,54.36984825,3
9.81430984,54.50160504,3
9.481713943,54.78024543,3
9.820185132,54.58329615,3
10.04269991,54.36733341,3
9.813509749,54.58858768,1
10.08625111,54.34204657,1
9.831813998,54.4713403,1
9.830583963,54.47288911,1
9.813509749,54.58858768,1
10.08625111,54.34204657,1
9.988437606,54.40183867,1
9.830583963,54.47288911,1
10.06141028,54.3698105,1
10.09333653,54.35609205,2
9.756710448,54.64765982,2
9.476248435,54.77721929,2
10.09542621,54.31530759,2
10.08383194,54.33830728,2
10.08843231,54.3615173,2
10.09333653,54.35609205,2
9.756710448,54.64765982,2
9.467103661,54.77215446,2
9.476248435,54.77721929,2
10.09542621,54.31530759,2
9.470469571,54.7740189,2
10.08383194,54.33830728,2
10.08843231,54.3615173,2
9.863274977,54.44754447,3
10.04153336,54.3672143,3
10.06169536,54.36984825,3
9.81430984,54.50160504,3
9.481713943,54.78024543,3
10.04269991,54.36733341,3
9.863274977,54.44754447,3
10.04153336,54.3672143,3
10.06169536,54.36984825,3
9.81430984,54.50160504,3
9.481713943,54.78024543,3
9.820185132,54.58329615,3
9.072882425,54.4763373,2
10.06141028,54.3698105,1
9.289222757,54.53902515,1
9.988437606,54.40183867,1
9.467103661,54.77215446,2
9.467103661,54.77215446,2
9.831813998,54.4713403,1
9.820185132,54.58329615,3
10.09333653,54.35609205,2
10.04269991,54.36733341,3
9.837104605,54.46581001,""
9.461019066,54.76965702,""
9.464537914,54.77078278,""
9.837104605,54.46581001,""
9.461019066,54.76965702,""
9.827413494,54.47570395,""
9.464537914,54.77078278,""
9.743727856,54.29448731,1
10.06328296,54.30944523,2
10.12545239,54.30704299,3
9.952720352,54.30992034,3
9.733768321,54.2787646,3
10.06328296,54.30944523,2
9.740446988,54.28502249,2
10.06328296,54.30944523,2
9.740446988,54.28502249,2
10.12545239,54.30704299,3
9.952720352,54.30992034,3
9.733768321,54.2787646,3
10.12545239,54.30704299,3
9.952720352,54.30992034,3
9.733768321,54.2787646,3
9.743727856,54.29448731,""
9.743727856,54.29448731,""
10.13560887,54.30098808,1
10.39951328,54.14966155,1
10.42407392,54.1598928,1
10.19467311,54.28479867,1
10.6102399,54.13525796,1
10.27578631,54.23387429,1
10.27575219,54.23553554,1
10.48175318,54.17342475,1
10.36529762,54.152277,2
10.42010075,54.1584631,2
10.27625452,54.23015923,2
10.24513502,54.27892569,2
10.23844656,54.28357001,2
10.55436897,54.16576584,2
10.47161909,54.17632822,2
10.41700138,54.15675483,2
10.79917347,54.09997184,2
10.41855226,54.15760852,3
10.4026744,54.14980732,3
10.55045804,54.1674326,3
10.13726779,54.29894407,3
10.13560887,54.30098808,1
10.41198038,54.15486681,1
10.39951328,54.14966155,1
10.42407392,54.1598928,1
10.19467311,54.28479867,1
10.13560887,54.30098808,1
10.39951328,54.14966155,1
10.19467311,54.28479867,1
10.36529762,54.152277,2
10.42010075,54.1584631,2
10.27625452,54.23015923,2
10.24513502,54.27892569,2
10.23844656,54.28357001,2
10.55436897,54.16576584,2
10.47161909,54.17632822,2
10.27883018,54.22432874,2
10.41700138,54.15675483,2
10.79917347,54.09997184,2
10.36529762,54.152277,2
10.42010075,54.1584631,2
10.27625452,54.23015923,2
10.24513502,54.27892569,2
10.23844656,54.28357001,2
10.55436897,54.16576584,2
10.47161909,54.17632822,2
10.27883018,54.22432874,2
10.79917347,54.09997184,2
10.41855226,54.15760852,3
10.4026744,54.14980732,3
10.13726779,54.29894407,3
10.41198038,54.15486681,1
10.55045804,54.1674326,3
10.41700138,54.15675483,2
10.41198038,54.15486681,1
10.42407392,54.1598928,1
9.827413494,54.47570395,""
9.740446988,54.28502249,2
10.41855226,54.15760852,3
10.4026744,54.14980732,3
10.55045804,54.1674326,3
10.42407392,54.1598928,""
10.42407392,54.1598928,""
10.42407392,54.1598928,""
10.42407392,54.1598928,""
10.42407392,54.1598928,""
10.42407392,54.1598928,""
10.42407392,54.1598928,""
10.42407392,54.1598928,""
10.6102399,54.13525796,""
10.27578631,54.23387429,""
10.27575219,54.23553554,""
10.48175318,54.17342475,""
10.42407392,54.1598928,""
10.42407392,54.1598928,""
10.42407392,54.1598928,""
10.42407392,54.1598928,""
10.27578631,54.23387429,""
10.27575219,54.23553554,""
10.48175318,54.17342475,""
10.12536334,54.30675817,3
10.12536334,54.30675817,3
10.12536334,54.30675817,3
10.13299776,54.2915608,2
10.13299776,54.2915608,2
10.13299776,54.2915608,2
9.669155583,54.30375764,1
9.94233639,54.11287487,1
9.53651033,54.50037222,1
9.85620664,54.16420839,1
9.521457006,54.50496675,1
9.47826977,54.52048778,1
9.663813519,54.30713293,1
9.479139701,54.52002949,1
9.79911941,54.24152029,2
9.399320544,54.66617618,2
9.593790645,54.38856822,2
9.670126423,54.30309698,2
9.512872763,54.50715382,2
9.380841494,54.58316361,2
9.819036662,54.21102133,2
9.580470381,54.40138917,2
9.541746588,54.4977575,2
9.678393483,54.29764391,2
9.661842258,54.30903227,2
9.547513867,54.47449523,2
9.628245991,54.36460013,2
9.375867039,54.61595186,2
9.654180195,54.31615996,2
9.926325583,54.12302062,3
9.840976083,54.17735263,3
9.712639162,54.28578334,3
9.399069968,54.75844713,3
9.662025042,54.30882459,3
9.660657025,54.31008279,3
9.770967538,54.26106675,3
9.73420068,54.27735857,3
9.689786681,54.30679681,3
9.702775771,54.30536903,3
9.698551689,54.30801404,3
9.702900775,54.28519026,3
9.421959928,54.77352147,3
9.683914932,54.29688205,3
9.6688329,54.30399677,3
9.545387676,54.49568844,3
9.382414538,54.74184007,3
9.891367223,54.14518698,3
9.926325583,54.12302062,3
9.400344125,54.56148109,4
9.669155583,54.30375764,1
9.94233639,54.11287487,1
9.669155583,54.30375764,1
9.94233639,54.11287487,1
9.79911941,54.24152029,2
9.399320544,54.66617618,2
9.593790645,54.38856822,2
9.512872763,54.50715382,2
9.380841494,54.58316361,2
9.819036662,54.21102133,2
9.580470381,54.40138917,2
9.541746588,54.4977575,2
9.678393483,54.29764391,2
9.661842258,54.30903227,2
10.6102399,54.13525796,""
9.670126423,54.30309698,2
9.547513867,54.47449523,2
9.628245991,54.36460013,2
9.375867039,54.61595186,2
9.654180195,54.31615996,2
9.79911941,54.24152029,2
9.399320544,54.66617618,2
9.593790645,54.38856822,2
9.670126423,54.30309698,2
9.512872763,54.50715382,2
9.380841494,54.58316361,2
9.580470381,54.40138917,2
9.541746588,54.4977575,2
9.678393483,54.29764391,2
9.661842258,54.30903227,2
9.547513867,54.47449523,2
9.628245991,54.36460013,2
9.375867039,54.61595186,2
9.654180195,54.31615996,2
9.926325583,54.12302062,3
9.840976083,54.17735263,3
9.712639162,54.28578334,3
9.399069968,54.75844713,3
9.662025042,54.30882459,3
9.660657025,54.31008279,3
9.770967538,54.26106675,3
9.73420068,54.27735857,3
9.689786681,54.30679681,3
9.702775771,54.30536903,3
9.698551689,54.30801404,3
9.702900775,54.28519026,3
9.421959928,54.77352147,3
9.683914932,54.29688205,3
9.6688329,54.30399677,3
9.545387676,54.49568844,3
9.382414538,54.74184007,3
9.891367223,54.14518698,3
9.840976083,54.17735263,3
9.712639162,54.28578334,3
9.399069968,54.75844713,3
9.662025042,54.30882459,3
9.660657025,54.31008279,3
9.770967538,54.26106675,3
9.689786681,54.30679681,3
9.702775771,54.30536903,3
9.698551689,54.30801404,3
9.702900775,54.28519026,3
9.421959928,54.77352147,3
9.683914932,54.29688205,3
9.6688329,54.30399677,3
9.382414538,54.74184007,3
9.891367223,54.14518698,3
9.53651033,54.50037222,""
9.85620664,54.16420839,""
9.521457006,54.50496675,""
9.47826977,54.52048778,""
9.663813519,54.30713293,""
9.479139701,54.52002949,""
9.53651033,54.50037222,""
9.85620664,54.16420839,""
9.521457006,54.50496675,""
9.47826977,54.52048778,""
9.663813519,54.30713293,""
9.479139701,54.52002949,""
9.904829517,54.07641746,1
9.55540909,54.1065226,1
9.796913295,54.0811263,1
9.317159441,54.13117471,2
9.280909112,54.15032789,2
9.728200775,54.08916906,2
9.277435772,54.15066363,2
9.170366999,54.17080068,2
9.595873556,54.09798772,2
9.447507947,54.1222144,2
9.246832587,54.15529532,3
9.938608529,54.08049518,3
9.483240686,54.11570628,3
9.904829517,54.07641746,1
9.55540909,54.1065226,1
9.796913295,54.0811263,1
9.904829517,54.07641746,1
9.55540909,54.1065226,1
9.796913295,54.0811263,1
9.317159441,54.13117471,2
9.280909112,54.15032789,2
9.728200775,54.08916906,2
9.277435772,54.15066363,2
9.819036662,54.21102133,2
9.73420068,54.27735857,3
9.170366999,54.17080068,2
9.595873556,54.09798772,2
9.447507947,54.1222144,2
9.317159441,54.13117471,2
9.280909112,54.15032789,2
9.277435772,54.15066363,2
9.170366999,54.17080068,2
9.595873556,54.09798772,2
9.447507947,54.1222144,2
9.246832587,54.15529532,3
9.938608529,54.08049518,3
9.483240686,54.11570628,3
9.246832587,54.15529532,3
9.938608529,54.08049518,3
9.483240686,54.11570628,3
10.28615559,53.93687654,1
10.30414618,53.93487567,1
10.28669928,53.93675985,1
10.36113672,53.88955291,2
10.38665021,53.80913787,2
10.3880591,53.81060599,3
10.28854499,53.93636369,3
10.36865009,53.864645,3
10.3880591,53.81060599,3
10.28615559,53.93687654,1
10.30414618,53.93487567,1
10.28615559,53.93687654,1
10.30414618,53.93487567,1
10.36113672,53.88955291,2
10.38665021,53.80913787,2
10.36113672,53.88955291,2
10.38665021,53.80913787,2
10.3880591,53.81060599,3
10.36865009,53.864645,3
10.28854499,53.93636369,3
10.36865009,53.864645,3
10.28669928,53.93675985,""
10.28669928,53.93675985,""
10.69285272,53.89844347,1
11.03957058,54.33244651,1
11.2198627,54.49090907,1
10.69269609,53.90124712,1
10.71177744,53.92421459,1
10.69192881,53.89638643,1
10.75551773,54.0621122,1
10.69285272,53.89844347,1
10.79951867,54.11180542,2
10.70358895,53.91699684,2
10.79851548,54.1019065,2
10.80247128,54.11958409,2
10.88248123,54.2862937,2
11.12255695,54.41606824,2
10.77800252,54.07168405,2
10.76035441,53.97908556,2
10.71538001,53.92737495,2
10.84605717,54.15006658,2
10.79951867,54.11180542,2
11.11182933,54.40051491,3
10.89010576,54.21816883,3
10.79884491,54.10484514,3
10.74161706,53.94808954,4
10.69285272,53.89844347,1
11.03957058,54.33244651,1
11.2198627,54.49090907,1
10.69269609,53.90124712,1
10.71177744,53.92421459,1
10.69192881,53.89638643,1
11.2198627,54.49090907,1
10.69269609,53.90124712,1
10.71177744,53.92421459,1
10.69192881,53.89638643,1
10.79951867,54.11180542,2
10.70358895,53.91699684,2
10.79851548,54.1019065,2
10.80247128,54.11958409,2
10.88248123,54.2862937,2
11.12255695,54.41606824,2
10.77800252,54.07168405,2
10.76035441,53.97908556,2
10.71538001,53.92737495,2
10.84605717,54.15006658,2
10.70358895,53.91699684,2
10.89082215,54.22168078,3
10.75551773,54.0621122,1
10.75551773,54.0621122,1
10.28854499,53.93636369,3
10.79851548,54.1019065,2
10.80247128,54.11958409,2
10.88248123,54.2862937,2
11.12255695,54.41606824,2
10.77800252,54.07168405,2
10.76035441,53.97908556,2
10.71538001,53.92737495,2
10.84605717,54.15006658,2
11.11182933,54.40051491,3
10.89082215,54.22168078,3
10.89010576,54.21816883,3
10.79884491,54.10484514,3
11.11182933,54.40051491,3
10.89010576,54.21816883,3
10.79884491,54.10484514,3
10.71405815,53.90899016,1
10.85398728,53.95089295,1
10.87204573,53.96171339,2
10.80215505,53.91712387,2
10.80979569,53.91990761,3
10.75936304,53.91200955,2
10.87204573,53.96171339,2
10.80215505,53.91712387,2
10.75936304,53.91200955,2
10.87204573,53.96171339,2
10.80979569,53.91990761,3
10.80979569,53.91990761,3
10.75936304,53.91200955,""
10.75936304,53.91200955,""
10.75936304,53.91200955,""
10.75936304,53.91200955,""
10.75936304,53.91200955,""
10.75936304,53.91200955,""
10.71405815,53.90899016,""
10.85398728,53.95089295,""
10.75936304,53.91200955,""
10.75936304,53.91200955,""
10.75936304,53.91200955,""
10.75936304,53.91200955,""
10.71405815,53.90899016,""
10.85398728,53.95089295,""
10.39537202,53.81136225,1
10.23962383,53.67063109,1
10.38512291,53.80753873,1
10.24524959,53.67432346,1
10.24125448,53.67137262,1
10.23820781,53.67007993,1
10.41580779,53.8151211,1
10.26889441,53.72792804,1
10.39537202,53.81136225,1
10.08203296,53.57139299,1
10.16654081,53.61518465,1
10.16430521,53.61310209,1
10.09801227,53.57477415,1
10.13995308,53.5962973,1
10.15275376,53.60381404,1
10.04331257,53.56291322,1
10.04590154,53.56334307,1
10.05141434,53.56373695,1
10.12453159,53.58734226,1
10.12469729,53.58743421,1
10.12363781,53.58684516,1
10.12044451,53.58493329,1
10.11494866,53.58167295,1
10.07323836,53.56899289,1
10.34592705,53.77278194,2
10.48233154,53.82650553,2
10.24705081,53.67745568,2
10.37086683,53.7938662,2
10.07981715,53.57066115,2
10.07788714,53.5701527,2
10.06246465,53.56628058,2
10.44896442,53.8224683,3
10.64401211,53.83825693,3
10.26594746,53.72287116,3
10.33062984,53.7644941,3
10.38027838,53.80299684,3
10.40568127,53.81307192,3
10.24719311,53.67779572,3
10.22317788,53.66409728,3
10.65624888,53.84541577,3
10.15552473,53.60565376,3
10.75936304,53.91200955,""
10.4317437,53.82006707,2
10.03770604,53.56098422,1
10.15370089,53.60443047,1
10.75936304,53.91200955,2
10.24675006,53.67674117,1
10.75936304,53.91200955,""
10.80215505,53.91712387,2
10.14014702,53.59641062,3
10.15905843,53.60831712,3
10.39537202,53.81136225,1
10.23962383,53.67063109,1
10.38512291,53.80753873,1
10.23962383,53.67063109,1
10.38512291,53.80753873,1
10.34592705,53.77278194,2
10.48233154,53.82650553,2
10.4317437,53.82006707,2
10.24705081,53.67745568,2
10.37086683,53.7938662,2
10.34592705,53.77278194,2
10.48233154,53.82650553,2
10.24705081,53.67745568,2
10.37086683,53.7938662,2
10.44896442,53.8224683,3
10.64401211,53.83825693,3
10.26594746,53.72287116,3
10.33062984,53.7644941,3
10.38027838,53.80299684,3
10.40568127,53.81307192,3
10.24719311,53.67779572,3
10.22317788,53.66409728,3
10.65624888,53.84541577,3
10.44896442,53.8224683,3
10.64401211,53.83825693,3
10.26594746,53.72287116,3
10.33062984,53.7644941,3
10.38027838,53.80299684,3
10.40568127,53.81307192,3
10.24719311,53.67779572,3
10.22317788,53.66409728,3
10.55522185,53.83172947,""
10.56469553,53.83071236,""
10.54537693,53.83429992,""
10.6141015,53.83525006,""
10.55522185,53.83172947,""
10.56469553,53.83071236,""
10.54537693,53.83429992,""
10.24524959,53.67432346,""
10.24125448,53.67137262,""
10.24675006,53.67674117,""
10.23820781,53.67007993,""
10.41580779,53.8151211,""
10.6141015,53.83525006,""
10.26889441,53.72792804,""
10.55522185,53.83172947,""
10.56469553,53.83071236,""
10.54537693,53.83429992,""
10.24524959,53.67432346,""
10.24125448,53.67137262,""
10.24675006,53.67674117,""
10.23820781,53.67007993,""
10.41580779,53.8151211,""
10.6141015,53.83525006,""
10.26889441,53.72792804,""
10.73482041,53.70879215,1
10.6318521,53.52589804,1
10.73022647,53.67834631,1
10.7362024,53.72591785,1
10.64173687,53.53064515,1
10.61808771,53.47989689,1
10.72765142,53.74350277,1
10.73009466,53.73759238,2
10.7042175,53.78310917,2
10.66792569,53.84084764,2
10.67055891,53.5645889,2
10.67075622,53.58259266,2
10.73450386,53.71317069,2
10.72735553,53.74667601,2
10.69077001,53.8250788,2
10.61484887,53.50971715,2
10.70376025,53.78453913,2
10.63112434,53.52554846,3
10.68598127,53.63280979,3
10.73482041,53.70879215,1
10.6318521,53.52589804,1
10.73022647,53.67834631,1
10.7362024,53.72591785,1
10.64173687,53.53064515,1
10.73482041,53.70879215,1
10.6318521,53.52589804,1
10.73022647,53.67834631,1
10.7362024,53.72591785,1
10.4317437,53.82006707,2
10.64173687,53.53064515,1
10.73009466,53.73759238,2
10.7042175,53.78310917,2
10.66792569,53.84084764,2
10.67055891,53.5645889,2
10.67075622,53.58259266,2
10.73450386,53.71317069,2
10.72735553,53.74667601,2
10.69077001,53.8250788,2
10.61484887,53.50971715,2
10.73009466,53.73759238,2
10.7042175,53.78310917,2
10.66792569,53.84084764,2
10.67075622,53.58259266,2
10.73450386,53.71317069,2
10.72735553,53.74667601,2
10.70376025,53.78453913,2
10.63112434,53.52554846,3
10.68598127,53.63280979,3
10.63112434,53.52554846,3
10.68598127,53.63280979,3
10.61808771,53.47989689,""
10.72765142,53.74350277,""
10.61808771,53.47989689,""
10.72765142,53.74350277,""
10.74948371,53.83827768,1
11.69764622,53.77824154,2
10.94282499,53.85277394,2
10.72358689,53.84132665,4
10.74948371,53.83827768,1
13.37755693,53.56473337,1
11.111642,53.85452503,1
10.74948371,53.83827768,1
13.09993606,53.57522673,2
13.19320263,53.57531125,2
13.23441017,53.57556909,2
13.59406593,53.5142774,2
13.20035972,53.57561457,2
10.77160599,53.83704167,2
11.48906726,53.77849265,2
11.49455997,53.78009938,2
11.51553518,53.78392181,2
11.63316583,53.78349646,2
11.72273932,53.77031584,2
12.01991114,53.83757734,2
12.54472505,53.75565287,2
11.12474021,53.85551857,2
11.61729212,53.78428462,2
11.64161595,53.78307247,2
11.11794229,53.85500312,2
11.63841129,53.78323334,2
11.51164918,53.78262535,2
11.22532763,53.85733721,2
11.26894607,53.83935457,2
11.32783999,53.82070059,2
12.76800061,53.74224252,2
11.99825956,53.83707446,2
11.53854995,53.78913428,2
12.74788312,53.74885858,3
